Phase,Code,Province,District,Constituency,Contestant,Gender,Party,Alliance,Votes,Won
1,S1TAP1,1,Taplejung,1,Aaitraj Maohang Limbu,Male,Rastriya Janamukti Party,Others,323,
1,S1TAP1,1,Taplejung,1,Keshav Prasad Dahal,Male,Nepali Congress,Democratic Alliance,16888,
1,S1TAP1,1,Taplejung,1,Yogesh Kumar Bhattarai,Male,CPN-UML,Left Alliance,29479,1
1,S1TAP1,1,Taplejung,1,Dhan Kumar Limbu,Male,Sanghiya Samajwadi Forum,,395,
1,S1TAP1,1,Taplejung,1,Bishnu Kumar Limbu,Male,Sanghiya Loktantrik Rastriya Manch,Others,1591,
1,S1TAP1,1,Taplejung,1,Chandra Kumar Shawa,Male,Naya Shakti Party,Others,386,
1,S1TAP1,1,Taplejung,1,Dilliram Bista,Male,Unified RPP (Nationalist),Others,241,
1,S1TAP1,1,Taplejung,1,Chhabindra Gurung,Male,Mongol National Organization,Others,42,
1,S1PAN1,1,Panchthar,1,Basanta Kumar Nemwang,Male,CPN-UML,Left Alliance,38641,1
1,S1PAN1,1,Panchthar,1,Bhisamraj Aangdemwe,Male,Nepali Congress,Democratic Alliance,28025,
1,S1PAN1,1,Panchthar,1,Prem Raj Lawati,Male,Sanghiya Samajwadi Forum,,1994,
1,S1PAN1,1,Panchthar,1,Sagar Kerung,Male,Sanghiya Loktantrik Rastriya Manch,Others,1593,
1,S1PAN1,1,Panchthar,1,Shanti Maya Limbu (Shigu),Female,Unified RPP (Nationalist),Others,295,
1,S1PAN1,1,Panchthar,1,Bagee Rath Limbu,Male,Rastriya Janamukti Party,Others,418,
1,S1PAN1,1,Panchthar,1,Din Nath Ghimire,Male,CPN-ML,Others,890,
1,S1PAN1,1,Panchthar,1,Tom Raj Thamsuhang,Male,Mongol National Organization,Others,194,
1,S1PAN1,1,Panchthar,1,Dil Bahadur Lawati,Male,Naya Shakti Party,Others,132,
1,S1SAN1,1,Sankhuwasabha,1,Bharat Rai (Langchawa),Male,Rastriya Janamukti Party,Others,168,
1,S1SAN1,1,Sankhuwasabha,1,Rajendra Prasad Gautam,Male,CPN-UML,Left Alliance,32769,1
1,S1SAN1,1,Sankhuwasabha,1,Gopal Raj Poudel,Male,Unified RPP (Nationalist),Others,117,
1,S1SAN1,1,Sankhuwasabha,1,Dipak Khadka,Male,Nepali Congress,Democratic Alliance,31639,
1,S1SAN1,1,Sankhuwasabha,1,Tanka Bahadur Nepaune,Male,Green Party Nepal,Others,37,
1,S1SAN1,1,Sankhuwasabha,1,Farenrda Sharma (Dahal),Male,Naya Shakti Party,Others,230,
1,S1SAN1,1,Sankhuwasabha,1,Narendra Raj Rai,Male,Mongol National Organization,Others,125,
1,S1SAN1,1,Sankhuwasabha,1,Gupta Bahadur Shrestha,Male,Independent,Others,17,
1,S1SAN1,1,Sankhuwasabha,1,Lalit Gurung,Male,RJP-N,,87,
1,S1SAN1,1,Sankhuwasabha,1,Bhawani Prasad Rai,Male,Sanghiya Samajwadi Forum,,587,
1,S1SAN1,1,Sankhuwasabha,1,Rajkumar Limbu,Male,Sanghiya Loktantrik Rastriya Manch,Others,191,
1,S1BHO1,1,Bhojpur,1,Sudan Kirati,Male,Maoist Centre,Left Alliance,34394,1
1,S1BHO1,1,Bhojpur,1,Umesh Jang Rayamajhi,Male,Nepali Congress,Democratic Alliance,21696,
1,S1BHO1,1,Bhojpur,1,Chandra Prasad Rai,Male,Mongol National Organization,Others,480,
1,S1BHO1,1,Bhojpur,1,Anil Basnet,Male,CPN-ML,Others,2601,
1,S1BHO1,1,Bhojpur,1,Yuvraj Katuwal,Male,Naya Shakti Party,Others,335,
1,S1BHO1,1,Bhojpur,1,Kedar Rai Mewahang,Male,Sanghiya Loktantrik Rastriya Manch,Others,135,
1,S1BHO1,1,Bhojpur,1,Dhuraraj Rai,Male,RJP-N,,303,
1,S1BHO1,1,Bhojpur,1,Dilli Ram Bohara,Male,Deshbhakta Janaganatantrik Morcha,Others,480,
1,S1SOL1,1,Solukhumbu,1,Lakpa Sherpa,Male,Sanghiya Samajwadi Forum,,381,
1,S1SOL1,1,Solukhumbu,1,Bal Bahadur K.C,Male,Nepali Congress,Democratic Alliance,17294,
1,S1SOL1,1,Solukhumbu,1,Hem Kumar Rai,Male,Maoist Centre,Left Alliance,20747,1
1,S1SOL1,1,Solukhumbu,1,Sunil Khadka,Male,Naya Shakti Party,Others,826,
1,S1SOL1,1,Solukhumbu,1,Dorji Sherpa,Male,Nepal Majdur Kisaan Party,Others,75,
1,S1SOL1,1,Solukhumbu,1,Rurdra Bahadur Rana Magar,Male,Mongol National Organization,Others,77,
1,S1SOL1,1,Solukhumbu,1,Ram Kaji Rai,Male,RJP-N,,128,
1,S1KHO1,1,Khotang,1,Madan Kumar Rai,Male,Naya Shakti Party,Others,2398,
1,S1KHO1,1,Khotang,1,Krishna Kumar Rai,Male,Sanghiya Samajwadi Forum,,2264,
1,S1KHO1,1,Khotang,1,Gokarna Rai,Male,Rastriya Janamukti Party,Others,75,
1,S1KHO1,1,Khotang,1,Saraswati Bajimaya,Female,Nepali Congress,Democratic Alliance,22432,
1,S1KHO1,1,Khotang,1,Bir Lal Rai,Male,Mongol National Organization,Others,67,
1,S1KHO1,1,Khotang,1,Dharma Raj Pokhrel,Male,RPP (Democratic),Others,188,
1,S1KHO1,1,Khotang,1,Bishal Bhattarai,Male,CPN-UML,Left Alliance,36329,1
1,S1KHO1,1,Khotang,1,Bishwash Rai,Male,RJP-N,,250,
1,S1KHO1,1,Khotang,1,Mahesh Bastola,Male,Unified RPP (Nationalist),Others,81,
1,S1KHO1,1,Khotang,1,Ganesh Bahadur Rai,Male,Sanghiya Loktantrik Rastriya Manch,Others,48,
1,S1OKH1,1,Okhaldhunga,1,Chandra Bikram Rai,Male,Sanghiya Khumbhuwan Loktantik Party,Others,64,
1,S1OKH1,1,Okhaldhunga,1,Rudra Kumar Fuyal,Male,Deshbhakta Janaganatantrik Morcha,Others,95,
