ID,Contestant,Gender,Party,Type,Constituency
1UML,Yogesh Kumar Bhattarai,male,CPN-UML,Directly Elected,Taplejung - 1
2UML,Basanta Kumar Nemwang,male,CPN-UML,Directly Elected,Panchthar - 1
3UML,Rajendra Prasad Gautam,male,CPN-UML,Directly Elected,Sankhuwasabha - 1
4UML,Bishal Bhattarai,male,CPN-UML,Directly Elected,Khotang - 1
5UML,Yagya Raj Sunuwar,male,CPN-UML,Directly Elected,Okhaldhunga - 1
6UML,Parwat Gurung,male,CPN-UML,Directly Elected,Dolakha - 1
7UML,Bhumi Prasad Tripathi,male,CPN-UML,Directly Elected,Dhading - 1
8UML,Khem Prasad Lohani,male,CPN-UML,Directly Elected,Dhading - 2
9UML,Narayan Prasad Khatiwada,male,CPN-UML,Directly Elected,Nuwakot - 2
10UML,Sher Bahadur Tamang,male,CPN-UML,Directly Elected,Sindhupalchok - 2
11UML,Polden Chopang Gurung,male,CPN-UML,Directly Elected,Manang - 1
12UML,Prem Prasad Tulachan,male,CPN-UML,Directly Elected,Mustang - 1
13UML,Bhupendra Bahadur Thapa,male,CPN-UML,Directly Elected,Myagdi - 1
14UML,Surya Prasad Pathak,male,CPN-UML,Directly Elected,Baglung - 1
15UML,Dhan Bahadur Buda,male,CPN-UML,Directly Elected,Dolpa - 1
16UML,Gopal Bahadur Bam,male,CPN-UML,Directly Elected,Mugu - 1
17UML,Lal Bahadur Thapa,male,CPN-UML,Directly Elected,Bajura - 1
18UML,Bhairav Bahadur Singh,male,CPN-UML,Directly Elected,Bajhang - 1
19UML,Ganesh Singh Thagunna,male,CPN-UML,Directly Elected,Darchula - 1
20UML,Damodar Bhandari,male,CPN-UML,Directly Elected,Baitadi - 1
21UML,Jhalnath Khanal,male,CPN-UML,Directly Elected,Ilam - 1
22UML,Subhash Chandra Nemwang,male,CPN-UML,Directly Elected,Ilam - 2
23UML,Pavitra Niroula (Kharel),female,CPN-UML,Directly Elected,Jhapa - 2
24UML,Lal Prasad Sawa Limbu,male,CPN-UML,Directly Elected,Jhapa - 4
25UML,K.P. Sharma Oli,male,CPN-UML,Directly Elected,Jhapa - 5
26UML,Bhawani Prasad Khapung,male,CPN-UML,Directly Elected,Terhathum - 1
27UML,Rajendra Kumar Rai,male,CPN-UML,Directly Elected,Dhankuta - 1
28UML,Ghanashyam Khatiwada,male,CPN-UML,Directly Elected,Morang - 1
29UML,Bhanu Bhakta Dhakal,male,CPN-UML,Directly Elected,Morang - 3
30UML,Lal Babu Pandit,male,CPN-UML,Directly Elected,Morang - 6
31UML,Jay Kumar Rai,male,CPN-UML,Directly Elected,Sunsari - 1
32UML,Lila Nath Shrestha,male,CPN-UML,Directly Elected,Siraha - 3
33UML,Ganesh Kumar Pahadi,male,CPN-UML,Directly Elected,Sindhuli - 1
34UML,Raghubir Mahaseth,male,CPN-UML,Directly Elected,Dhanusha - 4
35UML,Madhav Kumar Nepal,male,CPN-UML,Directly Elected,Kathmandu - 2
36UML,Krishna Bahadur Rai,male,CPN-UML,Directly Elected,Kathmandu - 3
37UML,Ishwor Pokhrel,male,CPN-UML,Directly Elected,Kathmandu - 5
38UML,Ram Bir Manandhar ,male,CPN-UML,Directly Elected,Kathmandu - 7
39UML,Jiwan Ram Shrestha,male,CPN-UML,Directly Elected,Kathmandu - 8
40UML,Krishna Gopal Shrestha,male,CPN-UML,Directly Elected,Kathmandu - 9
41UML,Mahesh Basnet,male,CPN-UML,Directly Elected,Bhaktapur - 2
42UML,Navraj Silwal,male,CPN-UML,Directly Elected,Lalitpur - 1
43UML,Krishna Lal Maharjan,male,CPN-UML,Directly Elected,Lalitpur - 2
44UML,Gokul Prasad Baskota,male,CPN-UML,Directly Elected,Kavre - 2
45UML,Krishna Prasad Dahal,male,CPN-UML,Directly Elected,Makwanpur - 1
46UML,Birodh Khatiwada,male,CPN-UML,Directly Elected,Makwanpur - 2
47UML,Surendra Prasad Pandey,male,CPN-UML,Directly Elected,Chitwan - 1
48UML,Krishna Bhakta Pokhrel,male,CPN-UML,Directly Elected,Chitwan - 2
49UML,Khagraj Adhikari,male,CPN-UML,Directly Elected,Kaski - 1
50UML,Rabindra Prasad Adhikari ,male,CPN-UML,Directly Elected,Kaski - 2
51UML,Jagat Bahadur Sunar (Bishwakarma),male,CPN-UML,Directly Elected,Kaski - 3
52UML,Krishna Kumar Shrestha,male,CPN-UML,Directly Elected,Tanahu - 1
53UML,Kedar Sigdel,male,CPN-UML,Directly Elected,Tanahu - 2
54UML,Narayan Prasad Marasini,male,CPN-UML,Directly Elected,Syangja - 1
55UML,Padma Kumari Aryal,female,CPN-UML,Directly Elected,Syangja - 2
56UML,Pradip Kumar Gyawali,male,CPN-UML,Directly Elected,Gulmi - 1
57UML,Gokarna Raj Bista,male,CPN-UML,Directly Elected,Gulmi - 2
58UML,Dal Bahadur Rana ,male,CPN-UML,Directly Elected,Palpa - 1
59UML,Som Prasad Pandeya,male,CPN-UML,Directly Elected,Palpa - 2
60UML,Til Bahadur Mahat Chhetri,male,CPN-UML,Directly Elected,Nawalparasi (E) - 2
61UML,Chhabilal Bishwakarma,male,CPN-UML,Directly Elected,Rupandehi - 1
62UML,Bishnu Prasad Poudel ,male,CPN-UML,Directly Elected,Rupandehi - 2
63UML,Ghanashyam Bhusal,male,CPN-UML,Directly Elected,Rupandehi - 3
64UML,Brijesh Kumar Gupta,male,CPN-UML,Directly Elected,Kapilvastu - 2
65UML,Padam Giri,male,CPN-UML,Directly Elected,Parbat - 1
66UML,Metmani Chaudhary,male,CPN-UML,Directly Elected,Dang - 1
67UML,Hirachandra K.C.,male,CPN-UML,Directly Elected,Dang - 3
68UML,Rabindra Raj Sharma,male,CPN-UML,Directly Elected,Dailekh - 1
69UML,Raj Bahadur Buda Chhetri,male,CPN-UML,Directly Elected,Dailekh - 2
70UML,Dhurva Kumar Shahi,male,CPN-UML,Directly Elected,Surkhet - 1
71UML,Navraj Rawat,male,CPN-UML,Directly Elected,Surkhet - 2
