Phase,Code,Province,District,National_Constituency,Province_Constituency,Contestant,Gender,Party,Votes,Won
1,S1TAP11,1,Taplejung,1,A,Bal Bahadur Limbu (Kirat),Male,Rastriya Janmukti Party,122,
1,S1TAP11,1,Taplejung,1,A,Lila Devi Bokhim (Limbu),Female,Nepali Congress,10974,
1,S1TAP11,1,Taplejung,1,A,Bal Bahadur Samsohang,Male,CPN-UML,15417,1
1,S1TAP11,1,Taplejung,1,A,Man Bahadur Gurung,Male,Naya Shakti Party,267,
1,S1TAP11,1,Taplejung,1,A,Deu Bahadur Limbu (Khudang),Male,Sanghiya Loktantrik Rastriya Manch,861,
1,S1TAP11,1,Taplejung,1,A,Gayatri Prasad Thebe,Male,Unified RPP (Nationalist),84,
1,S1TAP11,1,Taplejung,1,A,Bhakta Bahadur Yangden,Male,Sanghiya Samajwadi Forum,158,
1,S1TAP12,1,Taplejung,1,B,Dipendra Kumar Sendang,Male,Nepali Congress,7587,
1,S1TAP12,1,Taplejung,1,B,Tank Aangbuhang Limbu,Male,Maoist Centre,12198,1
1,S1TAP12,1,Taplejung,1,B,"Muksam Labung, Limbu",Male,Sanghiya Loktantrik Rastriya Manch,696,
1,S1TAP12,1,Taplejung,1,B,Sapana Samekham,Female,Unified RPP (Nationalist),83,
1,S1TAP12,1,Taplejung,1,B,Krishna Bahadur Limbu,Male,Jana Samajwadi Party,361,
1,S1TAP12,1,Taplejung,1,B,Sukha Bir Limbu,Male,Sanghiya Samajwadi Forum,238,
1,S1TAP12,1,Taplejung,1,B,Yam Kumar Aangbuhang,Male,Rastriya Janmukti Party,222,
1,S1TAP12,1,Taplejung,1,B,Bishal Limbu,Male,Naya Shakti Party,106,
1,S1PAN11,1,Panchthar,1,A,Narendra Kumar Kerung,Male,Nepali Congress,16078,
1,S1PAN11,1,Panchthar,1,A,Birkha Bahadur Tamang,Male,Sanghiya Samajwadi Forum,573,
1,S1PAN11,1,Panchthar,1,A,Harka Jung Lingden,Male,Sanghiya Loktantrik Rastriya Manch,821,
